item	cond	wp	listType	rt	response	target	distracter	corrkey	list	correct	rep	POS	word	lemma	nchar	countForm	countLemma	open	cwo	owo	scode	age	gen	read
1	AAT	0		1388	l	IL	IR	L	listA1	TRUE	1	ART	Il	il	2	4690327	50202323	0	1	NA	2NT	59	Maschio	Si
1	AAT	1		751	a	GALLO	ROOSH	A	listA1	TRUE	1	NOUN	gallo	gallo	5	3240	4693	1	NA	1	2NT	59	Maschio	Si
1	AAT	2		827	a	CANTA.	BLAZA.	A	listA1	TRUE	1	VER:fin	canta	cantare	5	14852	83987	1	NA	2	2NT	59	Maschio	Si
1	AAT	0		1196	l	IL	UQ	L	listA1	TRUE	2	ART	Il	il	2	4690327	50202323	0	1	NA	2NT	59	Maschio	Si
1	AAT	1		604	a	GALLO	UMRHI	A	listA1	TRUE	2	NOUN	gallo	gallo	5	3240	4693	1	NA	1	2NT	59	Maschio	Si
1	AAT	2		603	l	CANTA.	TUVAD.	L	listA1	TRUE	2	VER:fin	canta	cantare	5	14852	83987	1	NA	2	2NT	59	Maschio	Si
1	AAT	0		1282	a	IL	ZE	A	listA1	TRUE	3	ART	Il	il	2	4690327	50202323	0	1	NA	2NT	59	Maschio	Si
1	AAT	1		637	a	GALLO	ACEPH	A	listA1	TRUE	3	NOUN	gallo	gallo	5	3240	4693	1	NA	1	2NT	59	Maschio	Si
1	AAT	2		792	a	CANTA.	GBOQE.	A	listA1	TRUE	3	VER:fin	canta	cantare	5	14852	83987	1	NA	2	2NT	59	Maschio	Si
10	AAT	0		1399	l	LA	IH	L	listA1	TRUE	1	ART	La	la	2	4222776	42872777	0	1	NA	2NT	59	Maschio	Si
10	AAT	1		617	a	SIGNORA	HBOMLEU	A	listA1	TRUE	1	NOUN	signora	signora	7	57015	71094	1	NA	1	2NT	59	Maschio	Si
10	AAT	2		874	l	CHE	PMI	L	listA1	TRUE	1	CHE	che	che	3	27182874	27623366	0	2	NA	2NT	59	Maschio	Si
10	AAT	3		848	l	COMPRÒ	VDOGPG	L	listA1	TRUE	1	VER:fin	comprò	comprare	6	1036	122429	1	NA	2	2NT	59	Maschio	Si
10	AAT	4		622	l	LA	EM	L	listA1	TRUE	1	ART	la	la	2	25477273	42872777	0	3	NA	2NT	59	Maschio	Si
10	AAT	5		596	a	NOSTRA	DUUTMF	A	listA1	TRUE	1	DET:poss	nostra	nostro	6	520773	1628976	0	4	NA	2NT	59	Maschio	Si
10	AAT	6		674	l	AUTO	EFIO	L	listA1	TRUE	1	NOUN	auto	auto	4	143200	148861	1	NA	3	2NT	59	Maschio	Si
10	AAT	7		626	a	È	Ì	A	listA1	TRUE	1	VER:fin	è	essere	1	14929934	39239663	1	NA	4	2NT	59	Maschio	Si
10	AAT	8		717	a	DA	EP	A	listA1	TRUE	1	PRE	da	da	2	9235795	9726496	0	5	NA	2NT	59	Maschio	Si
10	AAT	9		730	a	IERI	IQOA	A	listA1	TRUE	1	ADV	ieri	ieri	4	217914	259385	0	6	NA	2NT	59	Maschio	Si
10	AAT	10		862	l	AMMALATA.	AQOFZEIN.	L	listA1	TRUE	1	ADJ	ammalata	ammalato	8	1747	10687	1	NA	5	2NT	59	Maschio	Si
10	AAT	0		1070	l	LA	EB	L	listA1	TRUE	2	ART	La	la	2	4222776	42872777	0	1	NA	2NT	59	Maschio	Si
10	AAT	1		573	a	SIGNORA	LCUDHEI	A	listA1	TRUE	2	NOUN	signora	signora	7	57015	71094	1	NA	1	2NT	59	Maschio	Si
10	AAT	2		659	l	CHE	LUR	L	listA1	TRUE	2	CHE	che	che	3	27182874	27623366	0	2	NA	2NT	59	Maschio	Si
10	AAT	3		652	l	COMPRÒ	FTMSUM	L	listA1	TRUE	2	VER:fin	comprò	comprare	6	1036	122429	1	NA	2	2NT	59	Maschio	Si
10	AAT	4		753	l	LA	OS	L	listA1	TRUE	2	ART	la	la	2	25477273	42872777	0	3	NA	2NT	59	Maschio	Si
10	AAT	5		630	a	NOSTRA	DPSUOC	A	listA1	TRUE	2	DET:poss	nostra	nostro	6	520773	1628976	0	4	NA	2NT	59	Maschio	Si
10	AAT	6		870	a	AUTO	UGAA	A	listA1	TRUE	2	NOUN	auto	auto	4	143200	148861	1	NA	3	2NT	59	Maschio	Si
10	AAT	7		622	l	È	Ò	L	listA1	TRUE	2	VER:fin	è	essere	1	14929934	39239663	1	NA	4	2NT	59	Maschio	Si
10	AAT	8		2077	l	DA	IB	L	listA1	TRUE	2	PRE	da	da	2	9235795	9726496	0	5	NA	2NT	59	Maschio	Si
10	AAT	9		561	a	IERI	IORA	A	listA1	TRUE	2	ADV	ieri	ieri	4	217914	259385	0	6	NA	2NT	59	Maschio	Si
10	AAT	10		648	l	AMMALATA.	SIUAAHPB.	L	listA1	TRUE	2	ADJ	ammalata	ammalato	8	1747	10687	1	NA	5	2NT	59	Maschio	Si
10	AAT	0		1135	l	LA	AN	L	listA1	TRUE	3	ART	La	la	2	4222776	42872777	0	1	NA	2NT	59	Maschio	Si
10	AAT	1		792	l	SIGNORA	OQIOMSQ	L	listA1	TRUE	3	NOUN	signora	signora	7	57015	71094	1	NA	1	2NT	59	Maschio	Si
10	AAT	2		682	a	CHE	OCN	A	listA1	TRUE	3	CHE	che	che	3	27182874	27623366	0	2	NA	2NT	59	Maschio	Si
10	AAT	3		739	l	COMPRÒ	ASHMCH	L	listA1	TRUE	3	VER:fin	comprò	comprare	6	1036	122429	1	NA	2	2NT	59	Maschio	Si
10	AAT	4		661	a	LA	EV	A	listA1	TRUE	3	ART	la	la	2	25477273	42872777	0	3	NA	2NT	59	Maschio	Si
10	AAT	5		678	a	NOSTRA	CTOMSI	A	listA1	TRUE	3	DET:poss	nostra	nostro	6	520773	1628976	0	4	NA	2NT	59	Maschio	Si
10	AAT	6		638	a	AUTO	OOUZ	A	listA1	TRUE	3	NOUN	auto	auto	4	143200	148861	1	NA	3	2NT	59	Maschio	Si
10	AAT	7		792	a	È	Ù	A	listA1	TRUE	3	VER:fin	è	essere	1	14929934	39239663	1	NA	4	2NT	59	Maschio	Si
10	AAT	8		685	l	DA	CA	L	listA1	TRUE	3	PRE	da	da	2	9235795	9726496	0	5	NA	2NT	59	Maschio	Si
10	AAT	9		741	l	IERI	OMOA	L	listA1	TRUE	3	ADV	ieri	ieri	4	217914	259385	0	6	NA	2NT	59	Maschio	Si
10	AAT	10		876	l	AMMALATA.	OIOLOLDD.	L	listA1	TRUE	3	ADJ	ammalata	ammalato	8	1747	10687	1	NA	5	2NT	59	Maschio	Si
2	AAT	0		1094	l	LA	FI	L	listA1	TRUE	1	ART	La	la	2	4222776	42872777	0	1	NA	2NT	59	Maschio	Si
2	AAT	1		684	a	PICCOLA	LSEIUBN	A	listA1	TRUE	1	ADJ	piccola	piccolo	7	146133	646364	1	NA	1	2NT	59	Maschio	Si
2	AAT	2		883	l	PARLA	AMVUC	L	listA1	TRUE	1	VER:fin	parla	parlare	5	188793	909141	1	NA	2	2NT	59	Maschio	Si
2	AAT	3		716	a	GIÀ.	RBE.	A	listA1	TRUE	1	ADV	già	già	3	1194062	1345572	0	2	NA	2NT	59	Maschio	Si
2	AAT	0		948	a	LA	OV	A	listA1	TRUE	2	ART	La	la	2	4222776	42872777	0	1	NA	2NT	59	Maschio	Si
2	AAT	1		557	a	PICCOLA	VUUMMFI	A	listA1	TRUE	2	ADJ	piccola	piccolo	7	146133	646364	1	NA	1	2NT	59	Maschio	Si
2	AAT	2		668	a	PARLA	VLBII	A	listA1	TRUE	2	VER:fin	parla	parlare	5	188793	909141	1	NA	2	2NT	59	Maschio	Si
2	AAT	3		693	l	GIÀ.	BGA.	L	listA1	TRUE	2	ADV	già	già	3	1194062	1345572	0	2	NA	2NT	59	Maschio	Si
2	AAT	0		1197	l	LA	ZA	L	listA1	TRUE	3	ART	La	la	2	4222776	42872777	0	1	NA	2NT	59	Maschio	Si
